source.message,dataset,timestamp,$workers.truncated,$workers.event.queue,$workers.event.batchSize,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now
Indexed 1 vectors for character:25dbc8f746985f72,cloudflare-workers,2026-04-28T00:56:30.659Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCW637ZGXTK2Q2S1BRP5D,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:25dbc8f746985f72,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for setting:c1ed0108918d7459,cloudflare-workers,2026-04-28T00:56:29.986Z,false,novelforge-tasks,10,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,YZSZXJLQMHB3JC9X,01KQ8SCVJXC9MW7FH8PR2C6546,YZSZXJLQMHB3JC9X,novelforge-tasks,novelforge,Indexed 1 vectors for setting:c1ed0108918d7459,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for character:4d88a6e7a55a8b90,cloudflare-workers,2026-04-28T00:56:29.856Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPX,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:4d88a6e7a55a8b90,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for setting:a679c2a9b314aa1a,cloudflare-workers,2026-04-28T00:56:29.299Z,false,novelforge-tasks,10,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,YZSZXJLQMHB3JC9X,01KQ8SCVJXC9MW7FH8PR2C6545,YZSZXJLQMHB3JC9X,novelforge-tasks,novelforge,Indexed 1 vectors for setting:a679c2a9b314aa1a,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for character:4d18bd5af7c16ad8,cloudflare-workers,2026-04-28T00:56:29.216Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPW,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:4d18bd5af7c16ad8,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for setting:42061ca582759103,cloudflare-workers,2026-04-28T00:56:28.655Z,false,novelforge-tasks,10,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,YZSZXJLQMHB3JC9X,01KQ8SCVJXC9MW7FH8PR2C6544,YZSZXJLQMHB3JC9X,novelforge-tasks,novelforge,Indexed 1 vectors for setting:42061ca582759103,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for character:a2cfbda184e840fb,cloudflare-workers,2026-04-28T00:56:28.527Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPV,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:a2cfbda184e840fb,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for setting:fd8e6a060a3d41d5,cloudflare-workers,2026-04-28T00:56:27.900Z,false,novelforge-tasks,10,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,YZSZXJLQMHB3JC9X,01KQ8SCVJXC9MW7FH8PR2C6543,YZSZXJLQMHB3JC9X,novelforge-tasks,novelforge,Indexed 1 vectors for setting:fd8e6a060a3d41d5,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for character:01a5b85cf127e42a,cloudflare-workers,2026-04-28T00:56:27.811Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPT,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:01a5b85cf127e42a,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for setting:b763290cb3789ec8,cloudflare-workers,2026-04-28T00:56:27.089Z,false,novelforge-tasks,10,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,YZSZXJLQMHB3JC9X,01KQ8SCVJXC9MW7FH8PR2C6542,YZSZXJLQMHB3JC9X,novelforge-tasks,novelforge,Indexed 1 vectors for setting:b763290cb3789ec8,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for character:24d42b31fef78d5f,cloudflare-workers,2026-04-28T00:56:27.026Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPS,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:24d42b31fef78d5f,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for setting:f0dbb73e270c8660,cloudflare-workers,2026-04-28T00:56:26.309Z,false,novelforge-tasks,10,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,YZSZXJLQMHB3JC9X,01KQ8SCVJXC9MW7FH8PR2C6541,YZSZXJLQMHB3JC9X,novelforge-tasks,novelforge,Indexed 1 vectors for setting:f0dbb73e270c8660,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for character:2e6bd26832bfa38d,cloudflare-workers,2026-04-28T00:56:26.263Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPR,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:2e6bd26832bfa38d,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for setting:4736bdaed4e0a9e1,cloudflare-workers,2026-04-28T00:56:25.520Z,false,novelforge-tasks,10,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,YZSZXJLQMHB3JC9X,01KQ8SCVJXC9MW7FH8PR2C6540,YZSZXJLQMHB3JC9X,novelforge-tasks,novelforge,Indexed 1 vectors for setting:4736bdaed4e0a9e1,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
Indexed 1 vectors for character:b37f1706275152b9,cloudflare-workers,2026-04-28T00:56:25.481Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPQ,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,Indexed 1 vectors for character:b37f1706275152b9,2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,Indexed 1 vectors for <*>,undefined,undefined,undefined
"Failed to log task start: Error: Failed query: insert into ""queue_task_logs"" (""id"", ""novel_id"", ""task_type"", ""status"", ""payload"", ""error_msg"", ""retry_count"", ""created_at"", ""finished_at"") values (?, ?, ?, ?, ?, null, ?, ?, null)
params: 98a3004fe2fc72a3c13fdb271f91dada,9edbaf72878b52d0,index_content,pending,{""sourceType"":""character"",""sourceId"":""b37f1706275152b9"",""novelId"":""9edbaf72878b52d0"",""title"":""李墨"",""content"":""李墨 (supporting)\n青玄宗内门边缘长老，出身外门最看不惯底层弟子被欺压，是第一个发现苏玄天赋的宗门高层，力排众议收苏玄为徒，是苏玄修仙路上的引路人。\n境界：元婴期中期""},0,1777337784",cloudflare-workers,2026-04-28T00:56:24.757Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPP,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,"Failed to log task start: Error: Failed query: insert into ""queue_task_logs"" (""id"", ""novel_id"", ""task_type"", ""status"", ""payload"", ""error_msg"", ""retry_count"", ""created_at"", ""finished_at"") values (?, ?, ?, ?, ?, null, ?, ?, null)
params: 98a3004fe2fc72a3c13fdb271f91dada,9edbaf72878b52d0,index_content,pending,{""sourceType"":""character"",""sourceId"":""b37f1706275152b9"",""novelId"":""9edbaf72878b52d0"",""title"":""李墨"",""content"":""李墨 (supporting)\n青玄宗内门边缘长老，出身外门最看不惯底层弟子被欺压，是第一个发现苏玄天赋的宗门高层，力排众议收苏玄为徒，是苏玄修仙路上的引路人。\n境界：元婴期中期""},0,1777337784",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"Failed to log task start: Error: Failed query: insert into ""queue_task_logs"" (""id"", ""novel_id"", ""task_type"", ""status"", ""payload"", ""error_msg"", ""retry_count"", ""created_at"", ""finished_at"") values (?, ?, ?, ?, ?, null, ?, ?, null)
params: <*>""sourceType"":""character"",""sourceId"":""<*>"",""novelId"":""9edbaf72878b52d0"",""title"":""<*>"",""content"":""<*> (<*>)\n青玄宗内门边缘长老，出身外门最看不惯底层弟子被欺压，是第一个发现苏玄天赋的宗门高层，力排众议收苏玄为徒，是苏玄修仙路上的引路人。\n境界：元婴期中期""},0,1777337784",undefined,undefined,undefined
"Content character:5e174a2a9073be39 unchanged, skipping reindex",cloudflare-workers,2026-04-28T00:56:24.695Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPN,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,"Content character:5e174a2a9073be39 unchanged, skipping reindex",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"Content character:5e174a2a9073be39 unchanged, skipping reindex",undefined,undefined,undefined
"Failed to log task start: Error: Failed query: insert into ""queue_task_logs"" (""id"", ""novel_id"", ""task_type"", ""status"", ""payload"", ""error_msg"", ""retry_count"", ""created_at"", ""finished_at"") values (?, ?, ?, ?, ?, null, ?, ?, null)
params: 3bcbcf8198c96f22e1bec5733b398d26,9edbaf72878b52d0,index_content,pending,{""sourceType"":""character"",""sourceId"":""5e174a2a9073be39"",""novelId"":""9edbaf72878b52d0"",""title"":""苏玄"",""content"":""苏玄 (protagonist)\n本书主角，初始为青玄宗外门人人可欺的废柴，被打落悬崖后偶得可成长性至宝万化天珠，一路扮猪吃虎越级打脸，最终打破万年成仙禁成为首位飞升者，反差感极强的爽文主角。\n境界：炼气期三层（初始）""},0,1777337784",cloudflare-workers,2026-04-28T00:56:24.669Z,false,novelforge-tasks,9,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,MYO9H2UGY3LXDSOI,01KQ8SCVWXF9GP9C46EKM4KQPM,MYO9H2UGY3LXDSOI,novelforge-tasks,novelforge,"Failed to log task start: Error: Failed query: insert into ""queue_task_logs"" (""id"", ""novel_id"", ""task_type"", ""status"", ""payload"", ""error_msg"", ""retry_count"", ""created_at"", ""finished_at"") values (?, ?, ?, ?, ?, null, ?, ?, null)
params: 3bcbcf8198c96f22e1bec5733b398d26,9edbaf72878b52d0,index_content,pending,{""sourceType"":""character"",""sourceId"":""5e174a2a9073be39"",""novelId"":""9edbaf72878b52d0"",""title"":""苏玄"",""content"":""苏玄 (protagonist)\n本书主角，初始为青玄宗外门人人可欺的废柴，被打落悬崖后偶得可成长性至宝万化天珠，一路扮猪吃虎越级打脸，最终打破万年成仙禁成为首位飞升者，反差感极强的爽文主角。\n境界：炼气期三层（初始）""},0,1777337784",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"Failed to log task start: Error: Failed query: insert into ""queue_task_logs"" (""id"", ""novel_id"", ""task_type"", ""status"", ""payload"", ""error_msg"", ""retry_count"", ""created_at"", ""finished_at"") values (?, ?, ?, ?, ?, null, ?, ?, null)
params: <*>""sourceType"":""character"",""sourceId"":""<*>"",""novelId"":""9edbaf72878b52d0"",""title"":""<*>"",""content"":""<*> (<*>)\n本书主角，初始为青玄宗外门人人可欺的废柴，被打落悬崖后偶得可成长性至宝万化天珠，一路扮猪吃虎越级打脸，最终打破万年成仙禁成为首位飞升者，反差感极强的爽文主角。\n境界：炼气期三层（初始）""},0,1777337784",undefined,undefined,undefined
